,char_0,char_1,char_2,char_3,char_4,char_5,char_6,char_7,char_8,char_9,name
0,19,4,18,19,26,26,26,26,26,26,
1,9,14,7,13,26,26,26,26,26,26,john
2,22,8,11,11,8,0,12,26,26,26,william
3,9,0,12,4,18,26,26,26,26,26,james
4,2,7,0,17,11,4,18,26,26,26,charles
5,6,4,14,17,6,4,26,26,26,26,george
6,5,17,0,13,10,26,26,26,26,26,frank
7,9,14,18,4,15,7,26,26,26,26,joseph
8,19,7,14,12,0,18,26,26,26,26,thomas
9,7,4,13,17,24,26,26,26,26,26,henry
10,17,14,1,4,17,19,26,26,26,26,robert
11,4,3,22,0,17,3,26,26,26,26,edward
12,7,0,17,17,24,26,26,26,26,26,harry
13,22,0,11,19,4,17,26,26,26,26,walter
14,0,17,19,7,20,17,26,26,26,26,arthur
15,5,17,4,3,26,26,26,26,26,26,fred
16,0,11,1,4,17,19,26,26,26,26,albert
17,18,0,12,20,4,11,26,26,26,26,samuel
18,3,0,21,8,3,26,26,26,26,26,david
19,11,14,20,8,18,26,26,26,26,26,louis
20,9,14,4,26,26,26,26,26,26,26,joe
21,2,7,0,17,11,8,4,26,26,26,charlie
22,2,11,0,17,4,13,2,4,26,26,clarence
23,17,8,2,7,0,17,3,26,26,26,richard
24,0,13,3,17,4,22,26,26,26,26,andrew
25,3,0,13,8,4,11,26,26,26,26,daniel
26,4,17,13,4,18,19,26,26,26,26,ernest
27,22,8,11,11,26,26,26,26,26,26,will
28,9,4,18,18,4,26,26,26,26,26,jesse
29,14,18,2,0,17,26,26,26,26,26,oscar
30,11,4,22,8,18,26,26,26,26,26,lewis
31,15,4,19,4,17,26,26,26,26,26,peter
32,1,4,13,9,0,12,8,13,26,26,benjamin
33,5,17,4,3,4,17,8,2,10,26,frederick
34,22,8,11,11,8,4,26,26,26,26,willie
35,0,11,5,17,4,3,26,26,26,26,alfred
36,18,0,12,26,26,26,26,26,26,26,sam
37,17,14,24,26,26,26,26,26,26,26,roy
38,7,4,17,1,4,17,19,26,26,26,herbert
39,9,0,2,14,1,26,26,26,26,26,jacob
40,19,14,12,26,26,26,26,26,26,26,tom
41,4,11,12,4,17,26,26,26,26,26,elmer
42,2,0,17,11,26,26,26,26,26,26,carl
43,11,4,4,26,26,26,26,26,26,26,lee
44,7,14,22,0,17,3,26,26,26,26,howard
45,12,0,17,19,8,13,26,26,26,26,martin
